Reward: -5.0000, SE: 122.3077, QoE_volte: 1.0000, QoE_embb: 0.0245, QoE_urllc: 0.0042
Reward: 0.0815, SE: 425.7155, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.7082
Reward: -7.0000, SE: 251.1622, QoE_volte: 1.0000, QoE_embb: 0.9997, QoE_urllc: 0.0000
Reward: -5.0000, SE: 146.6405, QoE_volte: 1.0000, QoE_embb: 0.8013, QoE_urllc: 0.9706
Reward: -5.0000, SE: 140.9647, QoE_volte: 1.0000, QoE_embb: 0.5669, QoE_urllc: 0.0251
Reward: -7.0000, SE: 319.7601, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: 2.3657, SE: 243.7421, QoE_volte: 1.0000, QoE_embb: 0.9989, QoE_urllc: 0.9366
Reward: -4.6758, SE: 332.8797, QoE_volte: 1.0000, QoE_embb: 0.9998, QoE_urllc: 0.2324
Reward: -5.0000, SE: 162.8459, QoE_volte: 1.0000, QoE_embb: 0.7952, QoE_urllc: 1.0000
Reward: -4.1127, SE: 233.0561, QoE_volte: 1.0000, QoE_embb: 0.9974, QoE_urllc: 0.2887
Reward: -7.0000, SE: 307.6323, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -5.0000, SE: 100.9584, QoE_volte: 1.0000, QoE_embb: 0.0243, QoE_urllc: 1.0000
Reward: -7.0000, SE: 474.8125, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: 4.0000, SE: 209.3385, QoE_volte: 1.0000, QoE_embb: 0.9968, QoE_urllc: 1.0000
Reward: -7.0000, SE: 421.8412, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: 1.7781, SE: 358.9897, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.8778
Reward: 2.1489, SE: 371.9017, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.9149
Reward: -7.0000, SE: 505.7761, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -3.4803, SE: 333.0270, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.3520
Reward: -6.9392, SE: 445.2210, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0061
Reward: -2.9355, SE: 428.5699, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.4065
Reward: -6.9642, SE: 370.0926, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0036
Reward: -5.0000, SE: 132.3995, QoE_volte: 1.0000, QoE_embb: 0.0251, QoE_urllc: 1.0000
Reward: 4.0000, SE: 240.2381, QoE_volte: 1.0000, QoE_embb: 0.9990, QoE_urllc: 0.9713
Reward: -7.0000, SE: 403.4279, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -5.0000, SE: 156.4024, QoE_volte: 1.0000, QoE_embb: 0.9102, QoE_urllc: 0.3894
Reward: 4.0000, SE: 252.8959, QoE_volte: 1.0000, QoE_embb: 0.9997, QoE_urllc: 1.0000
Reward: -4.0714, SE: 247.8479, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.2929
Reward: -5.0000, SE: 123.5765, QoE_volte: 1.0000, QoE_embb: 0.5171, QoE_urllc: 0.7080
Reward: -6.8298, SE: 259.1198, QoE_volte: 1.0000, QoE_embb: 0.9998, QoE_urllc: 0.0170
Reward: 4.0000, SE: 202.6308, QoE_volte: 1.0000, QoE_embb: 0.9970, QoE_urllc: 1.0000
Reward: -1.4488, SE: 345.6393, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.5551
Reward: 2.3953, SE: 337.0550, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.9395
Reward: -0.8843, SE: 442.1859, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.6116
Reward: -7.0000, SE: 497.4708, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: 8.0820, SE: 320.8196, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.9650
Reward: -3.9900, SE: 331.8674, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.3010
Reward: -7.0000, SE: 283.0083, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -2.8631, SE: 431.2979, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.4137
Reward: -7.0000, SE: 319.0960, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
